id;email;phonenumber;cpf
1;Clarissa.Bergstrom34@gmail.com;flickering rectangular gosh;kiddingly traumatic
2;Edythe.Thiel4@gmail.com;shuck covenant collection;removal continually buggy
3;Kiel_Bogisich@yahoo.com;knottily;bustle
4;Mazie78@gmail.com;owlishly;quizzically alongside
5;Jarod4@hotmail.com;where likewise lest;behind
6;Enoch.Shanahan@hotmail.com;bookend violently;that uh-huh
7;Salma.Brakus20@hotmail.com;pish;than lest shameless
8;Hunter78@yahoo.com;proffer velvety because;barbecue
9;Amina30@hotmail.com;topic;daily cable
10;Susanna.Von@yahoo.com;photodiode;endow phooey
